product_id,url,product_name,brand,price,tier,weight_g,length_mm,width_mm,height_mm,feet_material,sensor_model,max_dpi,max_ips,max_acceleration_g,max_polling_rate,switch_type,connectivity,battery_max_hours,charging_port,is_rechargeable,button_count,is_gaming,hand_orientation,avg_rating,total_reviews,key_pros,key_cons,has_rgb,color,is_silent,switch_brand,has_multi_pairing,grip_type,housing_design,reviews
78710333,https://prod.danawa.com/info/?pcode=78710333&cate=112787,HITSCAN HYPERLIGHT 유무선,,128980,C_reviews_only,,118,,38,,118mm,,,,8000,기계식,유선,,,Y,,N,오른손잡이용,5,4,,,N,,N,옴론,Y,클로그립,,[긍정] 바미니는 안써봤지만 작은 마우스를 선호 하는 편이여서 한번 구매 해봤는데 손에 촥 감기네요! 손 크기는 17.5 이고 클로 그립 유저입니다!!
15485003,https://prod.danawa.com/info/?pcode=15485003&cate=112787,글로리어스 MODEL D 무선,글로리어스,129000,B_detail_only,69,128,,42,PTFE,"Glorious BAMF Sensor
-",,400,,1000,기계식,"유선,2.4GHz무선",1000,USB-C,Y,8,Y,오른손잡이용,,,,,Y,,N,,N,"팜그립,핑거그립","허니컴,대칭형,에르고",
12006329,https://prod.danawa.com/info/?pcode=12006329&cate=112787,로지텍 MX MASTER 3 for Mac (정품),로지텍,129000,B_detail_only,141,125,,51,,4000DPI,4000,51,,,기계식,"유선,2.4GHz무선,블루투스",3,USB-C,Y,7,Y,오른손잡이용,,,,,N,,Y,,N,,"대칭형,에르고",
27952946,https://prod.danawa.com/info/?pcode=27952946&cate=112787,ASUS ROG HARPE ACE AIM LAB 유무선,ASUS,130650,B_detail_only,54,127.5,,39.6,PTFE,ROG AIMPOINT,2000,650,50,1000,기계식,"유선,2.4GHz무선,블루투스",1000,,Y,5,Y,오른손잡이용,,1,,,Y,,N,,N,"팜그립,클로그립,핑거그립","대칭형,에르고",
74248439,https://prod.danawa.com/info/?pcode=74248439&cate=112787,글로리어스 SERIES 2 PRO 유무선,글로리어스,132300,B_detail_only,55,119,,38,PTFE,,26000,650,50,8000,광학,"유선,2.4GHz무선",1000,USB-C,Y,6,N,오른손잡이용,,1,,,Y,,N,,Y,핑거그립,에르고,
97875020,https://prod.danawa.com/info/?pcode=97875020&cate=112787,Pulsar X2 CrazyLight 무선 서울 에디션 중고,Pulsar,134100,D_metadata_only,,115.6,,36.6,,,,8000,,8000,광학,무선,,,Y,,N,,,,,,N,,N,,Y,,,
77379395,https://prod.danawa.com/info/?pcode=77379395&cate=112787,NZXT Lift Elite 유무선,NZXT,135000,B_detail_only,57,118.8,,38.3,PTFE,PAW-3395,26000,650,50,8000,광학,"유선,2.4GHz무선",70,USB-C,Y,6,Y,오른손잡이용,,1,,,Y,,N,"후아노,TTC",Y,"클로그립,핑거그립","대칭형,에르고",
93700214,https://prod.danawa.com/info/?pcode=93700214&cate=112787,Pulsar Xlite CrazyLight 무선,Pulsar,135700,B_detail_only,41,115.6,,40.7,,,32000,750,50,8000,광학,무선,1000,USB-C,Y,,Y,,,16,,,N,,N,TTC,Y,팜그립,"대칭형,에르고",
102754769,https://prod.danawa.com/info/?pcode=102754769&cate=112787,Pulsar Xlite CrazyLight 무선 미디엄,Pulsar,135700,B_detail_only,44,122,66,43,,,32000,750,50,8000,광학,무선,1000,USB-C,Y,,Y,오른손잡이용,,16,,,N,,N,TTC,N,팜그립,에르고,
20727998,https://prod.danawa.com/info/?pcode=20727998&cate=112787,Razer Naga V2 HyperSpeed 무선 블루투스,Razer,135780,A_complete,95,119.5,,43.5,PTFE,FOCUS PRO 30K,,,50,,기계식,"2.4GHz무선,블루투스",480,,Y,19,Y,오른손잡이용,4.75,4,,,N,블루,N,Razer광학,Y,,에르고,[긍정] 잘 받았습니다. 생각보다 좀 무겁지만 쓸만하네요.
17423228,https://prod.danawa.com/info/?pcode=17423228&cate=112787,BenQ ZOWIE FK2-C,BenQ,135830,B_detail_only,,125,,36,PTFE,PIXART PMW,3200,,,1000,기계식,유선,1000,,,,Y,오른손잡이용,,,,,N,,N,,N,"팜그립,클로그립","대칭형,에르고",
17171645,https://prod.danawa.com/info/?pcode=17171645&cate=112787,로지텍 MX Master 3S (정품),로지텍,136280,A_complete,141,124.9,,51,,다크필드,1000,,,,기계식,블루투스,3,USB-C,Y,7,N,오른손잡이용,4.97,90,,,N,,Y,,Y,,,[긍정] 이틀째 영 불편하다가 삼일째인 오늘 겨우 조금 적응된듯합니다 옆에 휠은 어케사용한지몰라 안하고 윗쪽휠 사용중인데 스크롤 내릴때 가끔 손피부가 약간 틈으로 끼어 불편하지만 그외엔 적응중입니다 데스크용인것 같네요 노트북엔 좀 아닌듯해요 사용하다가 불편하면 다시 로지텍 아래단계인 애니훼어3 다시구매할지도 ..; 암튼 기대가 커서인지 아직은 그럭저럭 사용중입니다
74053382,https://prod.danawa.com/info/?pcode=74053382&cate=112787,LAMZU 아틀란티스 미니 유무선 챔피언 에디션,LAMZU,137470,C_reviews_only,,117,,37,,37mm,,,,,기계식,,,,Y,,N,오른손잡이용,5,4,디자인,,N,,N,옴론,N,,,"[긍정] 손이 작은 와이프 선물로 사줬는데 디자인, 무게, 그립감 다 너무 만족스러워해요!!손이 작으신 핑크색 좋아하시는 분들 강추입니다👍"
54813059,https://prod.danawa.com/info/?pcode=54813059&cate=112787,그라바스타 머큐리 M1 PRO 유무선,그라바스타,137890,D_metadata_only,,124,,39.5,,PAW-3395,,124,,4000,광학,유선+무선,,,Y,,Y,오른손잡이용,,,,,N,,N,,N,,,
92153870,https://prod.danawa.com/info/?pcode=92153870&cate=112787,Pulsar ZywOo The Chosen 미니 무선,Pulsar,137970,B_detail_only,55,115.6,63.4,40.7,,"40.7mm
-",32000,750,50,8000,기계식,무선,1000,USB-C,Y,,Y,,,1,,,N,,N,후아노,N,팜그립,에르고,
92153882,https://prod.danawa.com/info/?pcode=92153882&cate=112787,Pulsar ZywOo The Chosen 미디움 무선,Pulsar,137990,D_metadata_only,,122,,43,,,,122,,8000,,무선,,,Y,,Y,오른손잡이용,,1,,,N,,N,,N,,,
62868386,https://prod.danawa.com/info/?pcode=62868386&cate=112787,켄싱턴 SlimBlade Trackball Mouse,켄싱턴,138000,C_reviews_only,,,,,,,,1400,,,기계식,유선,,,,,N,,4.87,15,"무선안정성,손목편안함,디자인",,N,,N,,N,,,"[긍정] 세번째 구매입니다.집에서는 슬림블레이드 프로를 쓰고 있는데, 배송 시간이 많이 걸릴것 ？아 유선으로 주문했는데, 예상 배송일보다 이틀이나 먼저 배달되었습니다.손목이 편해서 슬림블레이드만 쓰고 있어요.박스디자인은 바뀌었지만, 제품자체 디자인은 그대로네요.사진상으로는 트랙볼 주변의 색이 어두운 색인것처럼 되었는데, 광택있는 은빛이네요. 기능은 같고 디자인은 무"
